dataset,regime,observations,observation_fraction,return_share,gross_exposure,exposure_share,active_fraction,long_fraction,short_fraction,flat_fraction,total_pnl,mean_pnl,sharpe,max_drawdown,hit_rate,tail_loss_95,expected_shortfall_95
deterministic_synthetic_engineering_validation,low_volatility,160,0.5,0.08428197350639208,65.0,0.5701754385964912,0.40625,0.19375,0.2125,0.59375,-1.003087407566633,-0.006269296297291456,-0.6186828328421655,-2.360226970654999,0.48484848484848486,0.35155657515770117,0.41860792045001954
deterministic_synthetic_engineering_validation,high_volatility,160,0.5,0.915718026493608,49.0,0.4298245614035088,0.30625,0.1,0.20625,0.69375,-10.898477848146765,-0.06811548655091729,-1.7678893658337216,-12.087442196982002,0.375,1.3219064168915937,1.7945364045815047
